Date;CLOSE
09.01.2017;1160,27
10.01.2017;1175,01
11.01.2017;1155,5
12.01.2017;1175,28
13.01.2017;1158,19
16.01.2017;1151,05
17.01.2017;1156,47
18.01.2017;1151,65
19.01.2017;1136,62
20.01.2017;1138,99
23.01.2017;1137,67
24.01.2017;1155,38
25.01.2017;1159,79
26.01.2017;1163,62
27.01.2017;1195,61
30.01.2017;1175,64
31.01.2017;1164,15
01.02.2017;1167,53
02.02.2017;1171,42
03.02.2017;1190,4
06.02.2017;1178,52
07.02.2017;1179,21
08.02.2017;1164,65
09.02.2017;1163,19
10.02.2017;1164,21
13.02.2017;1173,17
14.02.2017;1173,97
15.02.2017;1172,59
16.02.2017;1176,11
17.02.2017;1152,21
20.02.2017;1150,39
21.02.2017;1161,65
22.02.2017;1146,01
24.02.2017;1129,09
27.02.2017;1117,29
28.02.2017;1099,46
01.03.2017;1109,39
02.03.2017;1099,82
03.03.2017;1108,26
06.03.2017;1110,46
07.03.2017;1097,44
09.03.2017;1046,9
10.03.2017;1055,93
13.03.2017;1069,14
14.03.2017;1063,69
15.03.2017;1062,61
16.03.2017;1096,29
17.03.2017;1111,89
20.03.2017;1121,4
21.03.2017;1121,63
22.03.2017;1123,17
23.03.2017;1124,35
24.03.2017;1124,66
27.03.2017;1114,66
28.03.2017;1125,58
29.03.2017;1124,91
30.03.2017;1137,26
31.03.2017;1113,76
03.04.2017;1122,98
04.04.2017;1135,98
05.04.2017;1152,49
06.04.2017;1148,75
07.04.2017;1113,45
10.04.2017;1084,26
11.04.2017;1091,08
12.04.2017;1078,72
13.04.2017;1089,39
14.04.2017;1073,15
17.04.2017;1094,27
18.04.2017;1077,21
19.04.2017;1068,55
20.04.2017;1083,35
21.04.2017;1084,17
24.04.2017;1116,58
25.04.2017;1120,89
26.04.2017;1119,11
27.04.2017;1106,92
28.04.2017;1114,43
02.05.2017;1120,22
03.05.2017;1096,35
04.05.2017;1081,22
05.05.2017;1085,68
10.05.2017;1111,64
11.05.2017;1105,83
12.05.2017;1099,75
15.05.2017;1119,98
16.05.2017;1112,95
17.05.2017;1104,3
18.05.2017;1076,8
19.05.2017;1087,75
22.05.2017;1083,58
23.05.2017;1096,83
24.05.2017;1087,59
25.05.2017;1083,52
26.05.2017;1073,04
29.05.2017;1085,75
30.05.2017;1074,81
31.05.2017;1053,3
01.06.2017;1045,63
02.06.2017;1046,02
05.06.2017;1044,34
06.06.2017;1041,23
07.06.2017;1034,31
08.06.2017;1038,5
09.06.2017;1041,49
13.06.2017;1030,99
14.06.2017;1013,78
15.06.2017;991,96
16.06.2017;994,38
19.06.2017;998,34
20.06.2017;981,03
21.06.2017;973,33
22.06.2017;978,45
23.06.2017;988,93
26.06.2017;992,84
27.06.2017;1003,79
28.06.2017;1002,83
29.06.2017;1000,45
30.06.2017;1000,96
03.07.2017;1009,42
04.07.2017;1017,59
05.07.2017;1007,88
06.07.2017;1011,79
07.07.2017;995,24
10.07.2017;1006,14
11.07.2017;1001,51
12.07.2017;1025,68
13.07.2017;1029,89
14.07.2017;1044,27
17.07.2017;1039,34
18.07.2017;1038,45
19.07.2017;1043,13
20.07.2017;1038,54
21.07.2017;1024,89
24.07.2017;1013,69
25.07.2017;1010,06
26.07.2017;1020,6
27.07.2017;1030,95
28.07.2017;1014,44
31.07.2017;1007,14
01.08.2017;1014,24
02.08.2017;1021,42
03.08.2017;1029,41
04.08.2017;1026,73
07.08.2017;1032,68
08.08.2017;1048,69
09.08.2017;1034,98
10.08.2017;1029,26
11.08.2017;1022,41
14.08.2017;1031,13
15.08.2017;1027,45
16.08.2017;1029,76
17.08.2017;1034,05
18.08.2017;1027,85
21.08.2017;1034,29
22.08.2017;1039,44
23.08.2017;1044,96
24.08.2017;1049,96
25.08.2017;1060,49
28.08.2017;1068,75
29.08.2017;1067,58
30.08.2017;1084,41
31.08.2017;1095,84
01.09.2017;1100,58
04.09.2017;1091,83
05.09.2017;1100,83
06.09.2017;1106,7
07.09.2017;1110,73
08.09.2017;1119,61
11.09.2017;1126,74
12.09.2017;1124,23
13.09.2017;1118,38
14.09.2017;1125,69
15.09.2017;1123,43
18.09.2017;1119,14
19.09.2017;1108,71
20.09.2017;1122,43
21.09.2017;1120,13
22.09.2017;1123,24
25.09.2017;1130,54
26.09.2017;1127,26
27.09.2017;1126,94
28.09.2017;1125,56
29.09.2017;1136,75
02.10.2017;1128,69
03.10.2017;1129,9
04.10.2017;1137,14
05.10.2017;1144,05
06.10.2017;1134,3
09.10.2017;1132,45
10.10.2017;1134,86
11.10.2017;1143,32
12.10.2017;1143,96
13.10.2017;1156,64
16.10.2017;1158,24
17.10.2017;1146,62
18.10.2017;1147,79
19.10.2017;1138,64
20.10.2017;1134,45
23.10.2017;1131,08
24.10.2017;1127,03
25.10.2017;1118,13
26.10.2017;1118,19
27.10.2017;1118,62
30.10.2017;1124,05
31.10.2017;1113,41
01.11.2017;1126,43
02.11.2017;1118,66
03.11.2017;1109,38
07.11.2017;1146,98
08.11.2017;1150,36
09.11.2017;1161,38
10.11.2017;1156,74
13.11.2017;1148,79
14.11.2017;1136,86
15.11.2017;1116,53
16.11.2017;1126,52
17.11.2017;1132,45
20.11.2017;1128,72
21.11.2017;1147,61
22.11.2017;1159,11
23.11.2017;1158,62
24.11.2017;1166,09
27.11.2017;1160,56
28.11.2017;1159,41
29.11.2017;1144,68
30.11.2017;1131,56
01.12.2017;1133,33
04.12.2017;1133,87
05.12.2017;1134,25
06.12.2017;1131,38
07.12.2017;1119,51
08.12.2017;1119,54
11.12.2017;1144,35
12.12.2017;1149,88
13.12.2017;1141,5
14.12.2017;1153,32
15.12.2017;1148,27
18.12.2017;1147,91
19.12.2017;1134,58
20.12.2017;1129,33
21.12.2017;1126,97
22.12.2017;1135,7
25.12.2017;1143,94
26.12.2017;1144,97
27.12.2017;1148,92
28.12.2017;1150,58
29.12.2017;1154,43
03.01.2018;1183,06
04.01.2018;1214,17
05.01.2018;1219,89
09.01.2018;1229,15
10.01.2018;1234,64
11.01.2018;1248,75
12.01.2018;1261,07
15.01.2018;1264,3
16.01.2018;1261,09
17.01.2018;1264,7
18.01.2018;1279,28
19.01.2018;1270,92
22.01.2018;1285,33
23.01.2018;1283,75
24.01.2018;1292,32
25.01.2018;1311,21
26.01.2018;1286,7
29.01.2018;1275,57
30.01.2018;1274,94
31.01.2018;1282,36
01.02.2018;1293,1
02.02.2018;1272,76
05.02.2018;1263,77
06.02.2018;1232,69
07.02.2018;1242,53
08.02.2018;1210,69
09.02.2018;1185,79
12.02.2018;1206,22
13.02.2018;1226,92
14.02.2018;1244,85
15.02.2018;1262,27
16.02.2018;1263,27
19.02.2018;1259,01
20.02.2018;1264,68
21.02.2018;1291,19
22.02.2018;1301,01
26.02.2018;1324,62
27.02.2018;1310,84
28.02.2018;1285,47
01.03.2018;1274,18
02.03.2018;1261,63
05.03.2018;1279,51
06.03.2018;1281,43
07.03.2018;1270,17
09.03.2018;1285,53
12.03.2018;1283,18
13.03.2018;1285,8
14.03.2018;1251,19
15.03.2018;1247,28
16.03.2018;1254,29
19.03.2018;1241,28
20.03.2018;1256
21.03.2018;1270,08
22.03.2018;1258,89
23.03.2018;1261,44
26.03.2018;1230,96
27.03.2018;1243,99
28.03.2018;1226,8
29.03.2018;1246,98
30.03.2018;1249,41
02.04.2018;1234,06
03.04.2018;1237,06
04.04.2018;1240,39
05.04.2018;1253,47
06.04.2018;1236,48
09.04.2018;1094,98
10.04.2018;1090,79
11.04.2018;1083,53
12.04.2018;1125,09
13.04.2018;1104,51
16.04.2018;1085,16
17.04.2018;1121,48
18.04.2018;1154,55
19.04.2018;1153,59
20.04.2018;1145,8
23.04.2018;1144,66
24.04.2018;1153,83
25.04.2018;1137,62
26.04.2018;1146,85
27.04.2018;1167,12
28.04.2018;1164,09
30.04.2018;1153,96
02.05.2018;1136,56
03.05.2018;1128,22
04.05.2018;1146,61
07.05.2018;1153,85
08.05.2018;1142,13
10.05.2018;1179,63
11.05.2018;1193,98
14.05.2018;1202,56
15.05.2018;1178,76
16.05.2018;1189,77
17.05.2018;1181,61
18.05.2018;1173,14
21.05.2018;1191,86
22.05.2018;1202,04
23.05.2018;1174,71
24.05.2018;1173,63
25.05.2018;1169,93
28.05.2018;1167,21
29.05.2018;1154,9
30.05.2018;1162,96
31.05.2018;1162,98
01.06.2018;1164,37
04.06.2018;1179,78
05.06.2018;1172,77
06.06.2018;1177,73
07.06.2018;1171,22
08.06.2018;1142,9
09.06.2018;1149,19
11.06.2018;1142,02
13.06.2018;1147,57
14.06.2018;1140,97
15.06.2018;1117,04
18.06.2018;1100,63
19.06.2018;1096,92
20.06.2018;1119,21
21.06.2018;1110,79
22.06.2018;1125,41
25.06.2018;1120,23
26.06.2018;1113,6
27.06.2018;1124,84
28.06.2018;1125,13
29.06.2018;1154,16
02.07.2018;1151,66
03.07.2018;1147,47
04.07.2018;1147,53
05.07.2018;1171,64
06.07.2018;1173,47
09.07.2018;1193,17
10.07.2018;1202,42
11.07.2018;1186,36
12.07.2018;1177,5
13.07.2018;1189,35
16.07.2018;1180,64
17.07.2018;1165,14
18.07.2018;1144,72
19.07.2018;1124,43
20.07.2018;1114,59
23.07.2018;1129,92
24.07.2018;1143,81
25.07.2018;1141,7
26.07.2018;1148,79
27.07.2018;1151,74
30.07.2018;1162,42
31.07.2018;1173,06
01.08.2018;1160,09
02.08.2018;1140,96
03.08.2018;1145,08
06.08.2018;1138,57
07.08.2018;1147,16
08.08.2018;1113,78
09.08.2018;1097,33
10.08.2018;1056,93
13.08.2018;1059,76
14.08.2018;1081,5
15.08.2018;1055,24
16.08.2018;1066,51
17.08.2018;1052,74
20.08.2018;1065,34
21.08.2018;1072,12
22.08.2018;1065,34
23.08.2018;1043,99
24.08.2018;1064,46
27.08.2018;1084,13
28.08.2018;1078,28
29.08.2018;1085,01
30.08.2018;1075,55
31.08.2018;1092,29
03.09.2018;1085,19
04.09.2018;1082,21
05.09.2018;1068,88
06.09.2018;1054,36
07.09.2018;1050,51
10.09.2018;1043,46
11.09.2018;1055,9
12.09.2018;1071,32
13.09.2018;1084,54
14.09.2018;1094,73
17.09.2018;1099,5
18.09.2018;1123,03
19.09.2018;1134,1
20.09.2018;1140,65
21.09.2018;1149,53
24.09.2018;1162,98
25.09.2018;1169,04
26.09.2018;1160,78
27.09.2018;1187,88
28.09.2018;1192,04
01.10.2018;1191,28
02.10.2018;1181,61
03.10.2018;1196,03
04.10.2018;1160,76
05.10.2018;1159,33
08.10.2018;1158,25
09.10.2018;1159,47
10.10.2018;1143,35
11.10.2018;1124,08
12.10.2018;1141,35
15.10.2018;1146,72
16.10.2018;1165,87
17.10.2018;1162,79
18.10.2018;1140,17
19.10.2018;1126,97
22.10.2018;1116,56
23.10.2018;1106,82
24.10.2018;1125,08
25.10.2018;1120,69
26.10.2018;1098,31
29.10.2018;1112,61
30.10.2018;1105,33
31.10.2018;1126,21
01.11.2018;1131,38
02.11.2018;1134,8
06.11.2018;1151,14
07.11.2018;1164,27
08.11.2018;1155,27
09.11.2018;1121,38
12.11.2018;1114,75
13.11.2018;1100,06
14.11.2018;1117,26
15.11.2018;1131,13
